Name,SCCS,Coder,ID1.1Over,ID1.2Ethno,Int2.1Mar,Int2.2Econ,Int2.3Pol,Int2.4Hist,Dep3.1Sec,Dep3.2Ecol,Dep3.3Econ,NWVal4.1,WVal4.2,NWNorm5.1,WNorm5.2,MythsP6,MythsWar6,RitP6,RitWar6,SymP6,SymWar6,SuperOrd7,CM8.1Neg,CM8.2Med,CM8.3Arb,CM8.4Adj,CM8.5Peace,CM8.6War,Lead9.1P,Lead9.2War,Cult10.1Com,Cult10.2Diff,Comp10.3,InComp10.4,PSys,PSysRec,ID1.1Over_1,ID1.2Ethno_1,Int2.1Mar_1,Int2.2Econ_1,Int2.3Pol_1,Int2.4Hist_1,Dep3.1Sec_1,Dep3.2Ecol_1,Dep3.3Econ_1,NWVal4.1_1,WVal4.2_1,NWNorm5.1_1,WNorm5.2_1,MythsP6_1,MythsWar6_1,RitP6_1,RitWar6_1,SymP6_1,SymWar6_1,SuperOrd7_1,CM8.1Neg_1,CM8.2Med_1,CM8.3Arb_1,CM8.4Adj_1,CM8.5Peace_1,CM8.6War_1,Lead9.1P_1,Lead9.2War_1,COMinter,COMdep,COMnvvn,COMmrs,COMcm,COMwvn,COMwmrs,COMinterM,COMdepM,COMnvvnM,COMmrsM,COMcmM,COMwvnM,COMwmrsM
Gilbertese,107,KA,9,2,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,0,2.53225806451613,2,3,2.984375,2.39130434782609,2.91304347826087,2.5,2.5,2.68965517241379,3.171875,2.76388888888889,3.08333333333333,2.45161290322581,2.52380952380952,2.21875,2.56521739130435,2.54545454545455,2.92307692307692,2.325,2.625,2.84210526315789,2.875,2.14285714285714,2.17857142857143,3.1,1.5,2.76470588235294,2.9375, , , , , , , ,2.82218070652174,2.5632183908046,3.12760416666667,2.67070127939693,2.62770676691729,2.60775089605735,2.36306818181818
Marshallese,108,EC,1,9,9,1,9,9,9,9,3,4,3,9,9,9,9,2,9,2,2,9,2,9,9,9,9,2,9,4,9,9,9,9,2,0,1,2.6,2.42857142857143,1,2.39130434782609,2.91304347826087,2.5,2.5,3,4,3,3.08333333333333,2.45161290322581,2.52380952380952,2.21875,2,2.54545454545455,2,2,2.625,2,2.875,2.14285714285714,2.17857142857143,3.1,2,2.76470588235294,4, , , , , , , ,2.1832298136646,2.66666666666667,3.54166666666667,2.17460317460317,2.45928571428571,2.7258064516129,2.25473484848485
E. Pomo,135,"KA, EC",9,9,9,9,9,9,1,1,1,2.5,3,9,2,9,9,9,4,9,2.5,9,3,9,1,9,9,9,2,9,9,9,9,9,2,0,2.53225806451613,2.6,2.42857142857143,2.984375,2.39130434782609,2.91304347826087,1,1,1,2.5,3,3.08333333333333,2,2.52380952380952,2.21875,2.56521739130435,4,2.92307692307692,2.5,2.625,3,2.875,1,2.17857142857143,3.1,1.5,2,2.9375, ,1, , , ,2.5, ,2.6793235636646,1,2.79166666666667,2.67070127939693,2.43071428571429,2.5,2.90625
Popoluca,154,KA,9,3,9,3,9,9,9,3,3,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,0,2.53225806451613,3,2.42857142857143,3,2.39130434782609,2.91304347826087,2.5,3,3,3,2.76388888888889,3.08333333333333,2.45161290322581,2.52380952380952,2.21875,2.56521739130435,2.54545454545455,2.92307692307692,2.325,2.625,2.84210526315789,2.875,2.14285714285714,2.17857142857143,3.1,1.5,2.76470588235294,2.9375, , , , , , , ,2.6832298136646,2.83333333333333,3.04166666666667,2.67070127939693,2.62770676691729,2.60775089605735,2.36306818181818
Konso,35,KA,9,2,3,4,9,4,9,2,3,3,3,9,4,9,9,9,9,3,3,9,9,9,9,9,9,9,9,9,3,9,3,3,2,0,2.53225806451613,2,3,4,2.39130434782609,4,2.5,2,3,3,3,3.08333333333333,4,2.52380952380952,2.21875,2.56521739130435,2.54545454545455,3,3,2.625,2.84210526315789,2.875,2.14285714285714,2.17857142857143,3.1,1.5,2.76470588235294,2.9375, , , , , ,3.5, ,3.34782608695652,2.5,3.04166666666667,2.69634230503796,2.62770676691729,3.5,2.58806818181818
Bribri,157,DG,9,2,2,9,9,9,9,9,9,2,3,2,3,9,9,9,2,9,2,2,9,9,9,9,9,9,9,9,9,9,9,9,2,0,2.53225806451613,2,2,2.984375,2.39130434782609,2.91304347826087,2.5,2.5,2.68965517241379,2,3,2,3,2.52380952380952,2.21875,2.56521739130435,2,2.92307692307692,2,2,2.84210526315789,2.875,2.14285714285714,2.17857142857143,3.1,1.5,2.76470588235294,2.9375, , ,2, , ,3, ,2.57218070652174,2.5632183908046,2,2.67070127939693,2.62770676691729,3,2.07291666666667
Tallensi,23,DG,1,2,4,9,1,3,3,9,2,4,2,3,9,3,9,9,9,9,9,1,9,2,9,2,2,9,9,9,4,1,3,9,2,0,1,2,4,2.984375,1,3,3,2.5,2,4,2,3,2.45161290322581,3,2.21875,2.56521739130435,2.54545454545455,2.92307692307692,2.325,1,2.84210526315789,2,2.14285714285714,2,2,1.5,2.76470588235294,2.9375, , ,3.5, , , , ,2.74609375,2.5,3.5,2.82943143812709,2.19699248120301,2.2258064516129,2.36306818181818
Russians,54,DG,4,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,2,2,1,1,9,2,9,9,9,2,0,4,2.6,1,2.984375,2.39130434782609,2.91304347826087,2.5,2.5,2.68965517241379,3.171875,2.76388888888889,3.08333333333333,2.45161290322581,2.52380952380952,2.21875,2.56521739130435,2.54545454545455,2.92307692307692,2.325,2,2.84210526315789,2.875,2.14285714285714,2,2,1,1,2.9375, , , , , , , ,2.32218070652174,2.5632183908046,3.12760416666667,2.67070127939693,2.37199248120301,2.60775089605735,2.36306818181818
Trukese,109,DG,3,9,4,4,3,9,3,9,3,3,9,3,3,2,9,2,9,9,9,3,9,3,9,4,9,9,9,9,9,9,9,9,2,0,3,2.6,4,4,3,2.91304347826087,3,2.5,3,3,2.76388888888889,3,3,2,2.21875,2,2.54545454545455,2.92307692307692,2.325,3,2.84210526315789,3,2.14285714285714,4,3.1,1.5,2.76470588235294,2.9375, , ,3, , , , ,3.47826086956522,2.83333333333333,3,2.30769230769231,3.01699248120301,2.88194444444444,2.36306818181818
Toraja,87,DG,1,9,1,1,9,9,1,9,1,9,3,1,3,1,9,1,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,2,0,1,2.6,1,1,2.39130434782609,2.91304347826087,1,2.5,1,3.171875,3,1,3,1,2.21875,1,2.54545454545455,2.92307692307692,2.325,1,2.84210526315789,2.875,2.14285714285714,2.17857142857143,3.1,1.5,2.76470588235294,2.9375, , , , , ,3, ,1.82608695652174,1.5,2.0859375,1.64102564102564,2.62770676691729,3,2.36306818181818
