,Product,Sum
0,Cult10.2Diff,Cult10.2Diff
1,CM8.1Neg,CM8.5Peace
2,CM8.5Peace,CM8.1Neg
3,SymP6,SymP6
4,ID1.2Ethno,MythsP6
5,CM8.2Med,ID1.2Ethno
6,MythsP6,CM8.2Med
7,WVal4.2,WNorm5.2
8,WNorm5.2,WVal4.2
9,Dep3.3Econ,Dep3.3Econ
10,Dep3.2Ecol,Dep3.2Ecol
11,SymWar6,SymWar6
12,NWVal4.1,CM8.4Adj
13,CM8.4Adj,Lead9.2War
14,RitP6,NWVal4.1
15,Lead9.1P,RitP6
16,SuperOrd7,InComp10.4
17,Int2.2Econ,Int2.1Mar
18,ID1.1Over,MythsWar6
19,Comp10.3,SuperOrd7
20,NWNorm5.1,Lead9.1P
21,MythsWar6,Int2.2Econ
22,Int2.1Mar,NWNorm5.1
23,CM8.6War,ID1.1Over
24,Int2.3Pol,CM8.6War
25,Lead9.2War,Comp10.3
26,Cult10.1Com,RitWar6
27,InComp10.4,Int2.3Pol
28,Dep3.1Sec,Cult10.1Com
29,CM8.3Arb,Int2.4Hist
30,RitWar6,CM8.3Arb
31,Int2.4Hist,Dep3.1Sec
